county_code,county_name,date,ivt_max,ar_intensity,gage_height_mean,streamflow_mean,wind_speed_max,wind_gust_max,precip_total,runoff_total,temp_anomaly,soil_moisture_mean,IVT_max,IVT_duration,AR_category,Precip_24h,Precip_72h,Wind_gust_max,Soil_moisture_pct,API_7d,API_14d,Snowpack_SWE,Temp_anomaly,Streamflow_pct,Streamflow_p95_exceed,Runoff_ratio,Flood_stage_exceed,AR_count_7d,AR_count_14d,Wet_days_10,Dry_gap,Population_exposed,Infrastructure_density,County_area,Agricultural_share
6001,Alameda,2022-12-01,517.8761596679688,AR2,3.3633775461866415,8.844655593551538,10.95876121520996,28.42737579345703,3.8461685180664062,0.0674724578857421,2.004796181955646,0.1804438233375549,517.8761596679688,12,AR2,3.8461685180664062,3.8461685180664062,28.42737579345703,0.1804438233375549,3.8461685180664062,3.8461685180664062,80,2.004796181955646,56.25,-0.990279357306236,0.017542772129928,0,1.0,1.0,1.0,0,100000,2.0,5000,0.45
6001,Alameda,2022-12-02,231.9087829589844,,3.3634225621414915,9.136873767258384,6.12089729309082,11.85134506225586,0.0205039978027343,0.0002384185791015,-2.666712607106854,0.3434415683150291,231.9087829589844,0,,0.0205039978027343,3.8666725158691406,11.85134506225586,0.3434415683150291,3.4820556640625,3.67436408996582,80,-2.666712607106854,59.375,-0.9899581974345842,0.0116279069767411,0,1.0,1.0,1.0,1,100000,2.0,5000,0.45
6001,Alameda,2022-12-03,456.337890625,AR1,3.365481528260183,7.2980104200586124,5.717100620269775,9.304349899291992,0.5707740783691406,0.0092983245849609,-2.150843466481854,0.3157927840948105,456.337890625,12,AR1,0.5707740783691406,4.437446594238281,9.304349899291992,0.3157927840948105,3.6661624908447266,4.051804542541504,80,-2.150843466481854,46.875,-0.9919791843878604,0.0162907268170425,0,2.0,2.0,1.0,2,100000,2.0,5000,0.45
6001,Alameda,2022-12-04,550.9949951171875,AR2,3.8002554278416345,41.21026671056964,6.267160415649414,22.70210647583008,1.4505386352539062,0.0320672988891601,0.5363513577368959,0.3888566419482231,550.9949951171875,12,AR2,1.4505386352539062,2.0418167114257812,22.70210647583008,0.3888566419482231,4.672956466674805,5.280470848083496,80,0.5363513577368959,78.125,-0.9547082106509353,0.0221071663379355,0,3.0,3.0,2.0,0,100000,2.0,5000,0.45
6001,Alameda,2022-12-05,330.2167053222656,AR1,3.43935873015873,8.097738562091502,6.848633766174316,18.28190803527832,0.1187324523925781,0.0019073486328125,3.223302041330646,0.3520335331559181,330.2167053222656,12,AR1,0.1187324523925781,2.140045166015625,18.28190803527832,0.3520335331559181,4.202890396118164,5.104804039001465,80,3.223302041330646,53.125,-0.9911002500485157,0.0160642570281124,0,4.0,4.0,2.0,1,100000,2.0,5000,0.45
6001,Alameda,2022-12-06,141.72007751464844,,3.5259457579972184,4.050601529902643,4.777040481567383,16.066537857055664,0.5545616149902344,0.0127553939819335,1.5057269680884584,0.366510346531868,141.72007751464844,0,,0.5545616149902344,2.1238327026367188,16.066537857055664,0.366510346531868,4.156780242919922,5.359029769897461,80,1.5057269680884584,18.75,-0.9955482212110436,0.0230008598452276,0,4.0,4.0,2.0,2,100000,2.0,5000,0.45
6001,Alameda,2022-12-07,70.5109634399414,,3.4686564566655065,2.8276192133658196,3.7986176013946538,11.44712257385254,0.1664161682128906,0.0051259994506835,0.1499988186743959,0.3514062836766243,70.5109634399414,0,,0.1664161682128906,0.8397102355957031,11.44712257385254,0.3514062836766243,3.667068481445312,5.197381973266602,80,0.1499988186743959,6.25,-0.996892329412217,0.0308022922636097,0,4.0,4.0,2.0,3,100000,2.0,5000,0.45
6001,Alameda,2022-12-08,138.51710510253906,,3.443482638888889,2.2793020833333335,3.6536073684692383,10.597297668457031,0.0176429748535156,0.0004768371582031,-0.5311916720482603,0.3339891955256462,138.51710510253906,0,,0.0176429748535156,0.7386207580566406,10.597297668457031,0.3339891955256462,1.8580913543701172,4.878640174865723,80,-0.5311916720482603,3.125,-0.9974949526401696,0.0270270270270256,0,3.0,4.0,2.0,4,100000,2.0,5000,0.45
6001,Alameda,2022-12-09,329.4528503417969,AR1,3.46634341327772,2.957719847062913,6.183414459228516,21.34988021850586,0.1463890075683593,0.0026822090148925,1.5434161770728334,0.3357432633638382,329.4528503417969,12,AR1,0.1463890075683593,0.3304481506347655,21.34988021850586,0.3357432633638382,1.7084121704101562,4.687762260437012,80,1.5434161770728334,9.375,-0.99674934342921,0.018322475570032,0,4.0,5.0,2.0,5,100000,2.0,5000,0.45
6001,Alameda,2022-12-10,921.2145385742188,AR3,3.7473214907697665,32.13588993382097,17.401338577270508,39.25499725341797,2.9153823852539062,0.0751018524169921,3.212315713205646,0.3587266430258751,921.2145385742188,12,AR3,2.9153823852539062,3.0794143676757812,39.25499725341797,0.3587266430258751,4.150056838989258,7.25855827331543,80,3.212315713205646,71.875,-0.9646813264362096,0.0257605495583905,0,4.0,6.0,3.0,0,100000,2.0,5000,0.45
